date,close,operating_income
02/01/2013,216000,1.86854E+12
03/01/2013,206000,1.86854E+12
04/01/2013,206000,1.86854E+12
07/01/2013,208500,1.86854E+12
08/01/2013,210000,1.86854E+12
09/01/2013,207500,1.86854E+12
10/01/2013,209500,1.86854E+12
11/01/2013,206000,1.86854E+12
14/01/2013,209000,1.86854E+12
15/01/2013,209000,1.86854E+12
16/01/2013,210500,1.86854E+12
17/01/2013,212500,1.86854E+12
18/01/2013,213500,1.86854E+12
21/01/2013,210500,1.86854E+12
22/01/2013,214500,1.86854E+12
23/01/2013,218000,1.86854E+12
24/01/2013,208000,1.86854E+12
25/01/2013,201000,1.86854E+12
28/01/2013,198500,1.86854E+12
29/01/2013,206500,1.86854E+12
30/01/2013,203500,1.86854E+12
31/01/2013,205000,1.86854E+12
01/02/2013,206500,1.86854E+12
04/02/2013,203500,1.86854E+12
05/02/2013,203500,1.86854E+12
06/02/2013,199500,1.86854E+12
07/02/2013,200000,1.86854E+12
08/02/2013,209500,1.86854E+12
12/02/2013,211500,1.86854E+12
13/02/2013,216500,1.86854E+12
14/02/2013,216500,1.86854E+12
15/02/2013,213500,1.86854E+12
18/02/2013,209500,1.86854E+12
19/02/2013,210500,1.86854E+12
20/02/2013,217000,1.86854E+12
21/02/2013,216000,1.86854E+12
22/02/2013,219000,1.86854E+12
25/02/2013,214500,1.86854E+12
26/02/2013,213500,1.86854E+12
27/02/2013,215000,1.86854E+12
28/02/2013,218000,1.86854E+12
04/03/2013,219500,1.86854E+12
05/03/2013,221000,1.86854E+12
06/03/2013,217500,1.86854E+12
07/03/2013,216000,1.86854E+12
08/03/2013,213500,1.86854E+12
11/03/2013,208500,1.86854E+12
12/03/2013,210500,1.86854E+12
13/03/2013,210000,1.86854E+12
14/03/2013,212000,1.86854E+12
15/03/2013,220000,1.86854E+12
18/03/2013,219000,1.86854E+12
19/03/2013,218000,1.86854E+12
20/03/2013,217500,1.86854E+12
21/03/2013,215000,1.86854E+12
22/03/2013,214500,1.86854E+12
25/03/2013,215500,1.86854E+12
26/03/2013,220500,1.86854E+12
27/03/2013,224000,1.86854E+12
28/03/2013,223500,1.86854E+12
29/03/2013,224000,1.86854E+12
01/04/2013,222000,2.40649E+12
02/04/2013,219500,2.40649E+12
03/04/2013,218000,2.40649E+12
04/04/2013,207000,2.40649E+12
05/04/2013,198000,2.40649E+12
08/04/2013,198000,2.40649E+12
09/04/2013,198500,2.40649E+12
10/04/2013,201000,2.40649E+12
11/04/2013,200500,2.40649E+12
12/04/2013,197000,2.40649E+12
15/04/2013,193000,2.40649E+12
