date,close,net_profit
02/01/2013,38800,4.11458E+11
03/01/2013,39300,4.11458E+11
04/01/2013,39150,4.11458E+11
07/01/2013,39850,4.11458E+11
08/01/2013,38750,4.11458E+11
09/01/2013,38200,4.11458E+11
10/01/2013,38250,4.11458E+11
11/01/2013,37850,4.11458E+11
14/01/2013,38800,4.11458E+11
15/01/2013,38200,4.11458E+11
16/01/2013,38500,4.11458E+11
17/01/2013,38850,4.11458E+11
18/01/2013,39400,4.11458E+11
21/01/2013,40000,4.11458E+11
22/01/2013,40100,4.11458E+11
23/01/2013,39500,4.11458E+11
24/01/2013,39400,4.11458E+11
25/01/2013,39500,4.11458E+11
28/01/2013,40750,4.11458E+11
29/01/2013,39900,4.11458E+11
30/01/2013,39850,4.11458E+11
31/01/2013,38900,4.11458E+11
01/02/2013,38800,4.11458E+11
04/02/2013,38700,4.11458E+11
05/02/2013,38150,4.11458E+11
06/02/2013,37800,4.11458E+11
07/02/2013,37300,4.11458E+11
08/02/2013,37550,4.11458E+11
12/02/2013,37700,4.11458E+11
13/02/2013,38200,4.11458E+11
14/02/2013,38000,4.11458E+11
15/02/2013,37200,4.11458E+11
18/02/2013,37350,4.11458E+11
19/02/2013,37550,4.11458E+11
20/02/2013,38700,4.11458E+11
21/02/2013,38500,4.11458E+11
22/02/2013,38650,4.11458E+11
25/02/2013,39000,4.11458E+11
26/02/2013,38750,4.11458E+11
27/02/2013,38850,4.11458E+11
28/02/2013,39500,4.11458E+11
04/03/2013,39200,4.11458E+11
05/03/2013,38850,4.11458E+11
06/03/2013,39250,4.11458E+11
07/03/2013,39000,4.11458E+11
08/03/2013,39000,4.11458E+11
11/03/2013,38700,4.11458E+11
12/03/2013,38400,4.11458E+11
13/03/2013,38050,4.11458E+11
14/03/2013,38200,4.11458E+11
15/03/2013,38000,4.11458E+11
18/03/2013,37700,4.11458E+11
19/03/2013,37400,4.11458E+11
20/03/2013,36550,4.11458E+11
21/03/2013,36150,4.11458E+11
22/03/2013,36250,4.11458E+11
25/03/2013,36800,4.11458E+11
26/03/2013,36750,4.11458E+11
27/03/2013,37000,4.11458E+11
28/03/2013,37000,4.11458E+11
29/03/2013,37500,4.11458E+11
01/04/2013,37350,1.6352E+11
02/04/2013,37300,1.6352E+11
03/04/2013,37400,1.6352E+11
04/04/2013,37000,1.6352E+11
05/04/2013,36200,1.6352E+11
08/04/2013,36150,1.6352E+11
09/04/2013,36000,1.6352E+11
10/04/2013,36450,1.6352E+11
11/04/2013,36850,1.6352E+11
12/04/2013,36300,1.6352E+11
15/04/2013,35800,1.6352E+11
16/04/2013,35550,1.6352E+11
17/04/2013,35200,1.6352E+11
18/04/2013,34850,1.6352E+11
19/04/2013,35150,1.6352E+11
22/04/2013,35750,1.6352E+11
23/04/2013,35750,1.6352E+11
24/04/2013,35800,1.6352E+11
25/04/2013,35550,1.6352E+11
26/04/2013,35350,1.6352E+11
29/04/2013,35150,1.6352E+11
30/04/2013,36000,1.6352E+11
02/05/2013,35200,1.6352E+11
03/05/2013,34900,1.6352E+11
06/05/2013,35200,1.6352E+11
07/05/2013,35250,1.6352E+11
08/05/2013,35150,1.6352E+11
09/05/2013,36250,1.6352E+11
10/05/2013,36150,1.6352E+11
13/05/2013,35900,1.6352E+11
14/05/2013,36200,1.6352E+11
15/05/2013,36550,1.6352E+11
16/05/2013,36900,1.6352E+11
20/05/2013,37350,1.6352E+11
21/05/2013,37000,1.6352E+11
22/05/2013,37350,1.6352E+11
23/05/2013,36850,1.6352E+11
24/05/2013,37300,1.6352E+11
27/05/2013,37400,1.6352E+11
28/05/2013,37450,1.6352E+11
29/05/2013,37600,1.6352E+11
30/05/2013,37500,1.6352E+11
31/05/2013,36950,1.6352E+11
03/06/2013,37200,1.6352E+11
04/06/2013,36850,1.6352E+11
05/06/2013,36200,1.6352E+11
07/06/2013,36250,1.6352E+11
10/06/2013,36600,1.6352E+11
11/06/2013,36500,1.6352E+11
12/06/2013,36250,1.6352E+11
13/06/2013,35650,1.6352E+11
14/06/2013,35750,1.6352E+11
17/06/2013,35750,1.6352E+11
18/06/2013,35650,1.6352E+11
19/06/2013,35550,1.6352E+11
20/06/2013,35050,1.6352E+11
21/06/2013,34400,1.6352E+11
24/06/2013,34000,1.6352E+11
25/06/2013,34000,1.6352E+11
26/06/2013,33650,1.6352E+11
27/06/2013,33850,1.6352E+11
28/06/2013,34200,1.6352E+11
01/07/2013,33850,4.26566E+11
02/07/2013,33800,4.26566E+11
03/07/2013,32800,4.26566E+11
04/07/2013,32600,4.26566E+11
05/07/2013,33000,4.26566E+11
08/07/2013,34100,4.26566E+11
09/07/2013,34050,4.26566E+11
10/07/2013,34250,4.26566E+11
11/07/2013,35300,4.26566E+11
12/07/2013,35450,4.26566E+11
15/07/2013,35200,4.26566E+11
16/07/2013,34950,4.26566E+11
17/07/2013,34500,4.26566E+11
18/07/2013,34100,4.26566E+11
19/07/2013,34600,4.26566E+11
22/07/2013,34850,4.26566E+11
23/07/2013,36000,4.26566E+11
24/07/2013,36150,4.26566E+11
25/07/2013,35750,4.26566E+11
26/07/2013,35650,4.26566E+11
29/07/2013,35500,4.26566E+11
30/07/2013,35850,4.26566E+11
31/07/2013,35600,4.26566E+11
