company_code,dt,attn_volume,greed_count,mean_greed_score,greed_ratio
000660,2017-06-07,127,30,1.7480314960629921,0.23622047244094488
000660,2017-06-08,60,15,1.8666666666666667,0.25
000660,2017-06-09,156,33,1.8205128205128205,0.21153846153846154
000660,2017-06-10,131,16,1.3893129770992367,0.12213740458015267
005380,2017-06-07,54,9,1.3888888888888888,0.16666666666666666
005380,2017-06-08,21,1,1.2380952380952381,0.047619047619047616
005380,2017-06-09,44,2,1.2272727272727273,0.045454545454545456
005380,2017-06-10,22,2,1.3181818181818181,0.09090909090909091
005930,2017-06-07,117,17,1.376068376068376,0.1452991452991453
005930,2017-06-08,90,17,1.5555555555555556,0.18888888888888888
005930,2017-06-09,130,33,1.676923076923077,0.25384615384615383
005930,2017-06-10,79,12,1.4177215189873418,0.1518987341772152
033100,2017-06-07,15,1,1.6666666666666667,0.06666666666666667
033100,2017-06-08,36,12,2.0833333333333335,0.3333333333333333
033100,2017-06-09,18,2,1.5,0.1111111111111111
033100,2017-06-10,2,0,2.0,0.0
080220,2017-06-07,1,0,2.0,0.0
080220,2017-06-08,2,1,2.5,0.5
105560,2017-06-07,4,1,1.75,0.25
105560,2017-06-08,5,3,3.0,0.6
105560,2017-06-09,6,2,1.8333333333333333,0.3333333333333333
190510,2017-06-07,1,0,2.0,0.0
190510,2017-06-08,4,3,2.5,0.75
190510,2017-06-09,5,2,2.2,0.4
000660,2017-06-11,108,20,1.6851851851851851,0.18518518518518517
000660,2017-06-12,223,29,1.2690582959641257,0.13004484304932734
000660,2017-06-13,233,49,1.7296137339055795,0.21030042918454936
000660,2017-06-14,104,23,1.7307692307692308,0.22115384615384615
000660,2017-06-15,222,55,1.7747747747747749,0.24774774774774774
000660,2017-06-16,131,34,1.9694656488549618,0.2595419847328244
000660,2017-06-17,34,11,1.911764705882353,0.3235294117647059
005380,2017-06-11,8,0,1.5,0.0
005380,2017-06-12,13,2,1.6153846153846154,0.15384615384615385
005380,2017-06-13,38,5,1.0789473684210527,0.13157894736842105
005380,2017-06-14,31,10,1.903225806451613,0.3225806451612903
005380,2017-06-15,54,15,1.7592592592592593,0.2777777777777778
005380,2017-06-16,32,8,1.8125,0.25
005380,2017-06-17,14,1,0.6428571428571429,0.07142857142857142
005930,2017-06-11,58,5,1.4655172413793103,0.08620689655172414
005930,2017-06-12,142,31,1.6901408450704225,0.21830985915492956
005930,2017-06-13,84,12,1.5476190476190477,0.14285714285714285
005930,2017-06-14,78,9,1.4487179487179487,0.11538461538461539
005930,2017-06-15,106,19,1.5471698113207548,0.1792452830188679
005930,2017-06-16,87,16,1.5632183908045978,0.1839080459770115
005930,2017-06-17,70,5,1.0285714285714285,0.07142857142857142
033100,2017-06-11,9,3,2.2222222222222223,0.3333333333333333
033100,2017-06-12,30,6,1.8666666666666667,0.2
033100,2017-06-13,17,2,1.9411764705882353,0.11764705882352941
033100,2017-06-14,21,1,1.3333333333333333,0.047619047619047616
033100,2017-06-15,29,3,1.5172413793103448,0.10344827586206896
033100,2017-06-16,10,2,1.8,0.2
033100,2017-06-17,5,0,1.0,0.0
080220,2017-06-11,1,0,2.0,0.0
080220,2017-06-12,5,0,1.8,0.0
080220,2017-06-13,4,1,1.5,0.25
080220,2017-06-16,1,0,2.0,0.0
105560,2017-06-12,3,0,1.6666666666666667,0.0
105560,2017-06-13,2,0,1.5,0.0
105560,2017-06-14,1,1,3.0,1.0
105560,2017-06-15,9,2,1.6666666666666667,0.2222222222222222
105560,2017-06-17,3,2,3.0,0.6666666666666666
190510,2017-06-14,1,0,2.0,0.0
190510,2017-06-15,1,0,1.0,0.0
190510,2017-06-16,1,0,2.0,0.0
000660,2017-06-18,24,3,1.8333333333333333,0.125
000660,2017-06-19,168,51,1.8154761904761905,0.30357142857142855
000660,2017-06-20,301,80,1.8870431893687707,0.26578073089701
000660,2017-06-21,407,96,1.683046683046683,0.23587223587223588
000660,2017-06-22,322,83,1.7329192546583851,0.2577639751552795
000660,2017-06-23,247,54,1.680161943319838,0.21862348178137653
000660,2017-06-24,231,36,1.6883116883116882,0.15584415584415584
005380,2017-06-18,7,0,1.2857142857142858,0.0
005380,2017-06-19,27,4,0.9629629629629629,0.14814814814814814
005380,2017-06-20,15,2,1.2666666666666666,0.13333333333333333
005380,2017-06-21,42,9,1.4285714285714286,0.21428571428571427
005380,2017-06-22,13,3,1.0769230769230769,0.23076923076923078
005380,2017-06-23,11,2,1.6363636363636365,0.18181818181818182
005380,2017-06-24,8,0,1.0,0.0
005930,2017-06-18,31,5,1.4516129032258065,0.16129032258064516
005930,2017-06-19,147,19,1.4489795918367347,0.1292517006802721
005930,2017-06-20,277,70,1.6859205776173285,0.2527075812274368
005930,2017-06-21,156,21,1.2243589743589745,0.1346153846153846
005930,2017-06-22,116,15,1.2327586206896552,0.12931034482758622
005930,2017-06-23,100,14,1.43,0.14
005930,2017-06-24,65,5,1.3846153846153846,0.07692307692307693
