company_code,dt,attn_volume,greed_count,mean_greed_score,greed_ratio
000660,2017-06-07,127,42,2.141732283464567,0.33070866141732286
000660,2017-06-08,60,17,2.066666666666667,0.2833333333333333
000660,2017-06-09,156,33,1.9102564102564104,0.21153846153846154
000660,2017-06-10,131,26,1.8931297709923665,0.1984732824427481
005380,2017-06-07,54,6,1.4444444444444444,0.1111111111111111
005380,2017-06-08,21,2,1.4285714285714286,0.09523809523809523
005380,2017-06-09,44,3,1.25,0.06818181818181818
005380,2017-06-10,22,3,1.4090909090909092,0.13636363636363635
005930,2017-06-07,117,25,1.982905982905983,0.21367521367521367
005930,2017-06-08,90,22,1.9,0.24444444444444444
005930,2017-06-09,130,39,2.207692307692308,0.3
005930,2017-06-10,79,12,1.860759493670886,0.1518987341772152
033100,2017-06-07,15,2,2.066666666666667,0.13333333333333333
033100,2017-06-08,36,12,2.1666666666666665,0.3333333333333333
033100,2017-06-09,18,5,2.1666666666666665,0.2777777777777778
033100,2017-06-10,2,0,2.0,0.0
080220,2017-06-07,1,0,2.0,0.0
080220,2017-06-08,2,1,2.5,0.5
105560,2017-06-07,4,2,2.5,0.5
105560,2017-06-08,5,3,2.8,0.6
105560,2017-06-09,6,1,2.0,0.16666666666666666
190510,2017-06-07,1,0,1.0,0.0
190510,2017-06-08,4,1,2.0,0.25
190510,2017-06-09,5,2,2.2,0.4
000660,2017-06-11,108,25,1.9814814814814814,0.23148148148148148
000660,2017-06-12,223,37,1.7802690582959642,0.16591928251121077
000660,2017-06-13,233,60,1.9356223175965666,0.2575107296137339
000660,2017-06-14,104,20,1.9711538461538463,0.19230769230769232
000660,2017-06-15,222,69,2.054054054054054,0.3108108108108108
000660,2017-06-16,131,34,1.9923664122137406,0.2595419847328244
000660,2017-06-17,34,8,2.0588235294117645,0.23529411764705882
005380,2017-06-11,8,0,1.5,0.0
005380,2017-06-12,13,5,2.1538461538461537,0.38461538461538464
005380,2017-06-13,38,6,1.5789473684210527,0.15789473684210525
005380,2017-06-14,31,10,2.0,0.3225806451612903
005380,2017-06-15,54,16,1.7407407407407407,0.2962962962962963
005380,2017-06-16,32,8,1.8125,0.25
005380,2017-06-17,14,2,1.2857142857142858,0.14285714285714285
005930,2017-06-11,58,10,1.8103448275862069,0.1724137931034483
005930,2017-06-12,142,26,1.9295774647887325,0.18309859154929578
005930,2017-06-13,84,12,2.0476190476190474,0.14285714285714285
005930,2017-06-14,78,12,1.935897435897436,0.15384615384615385
005930,2017-06-15,106,29,2.1037735849056602,0.27358490566037735
005930,2017-06-16,87,18,1.9425287356321839,0.20689655172413793
005930,2017-06-17,70,9,1.8428571428571427,0.12857142857142856
033100,2017-06-11,9,3,2.4444444444444446,0.3333333333333333
033100,2017-06-12,30,7,2.2,0.23333333333333334
033100,2017-06-13,17,2,2.0588235294117645,0.11764705882352941
033100,2017-06-14,21,5,2.0952380952380953,0.23809523809523808
033100,2017-06-15,29,6,2.103448275862069,0.20689655172413793
033100,2017-06-16,10,2,2.3,0.2
033100,2017-06-17,5,1,2.0,0.2
080220,2017-06-11,1,0,2.0,0.0
080220,2017-06-12,5,0,1.6,0.0
080220,2017-06-13,4,0,1.0,0.0
080220,2017-06-16,1,0,2.0,0.0
105560,2017-06-12,3,2,2.6666666666666665,0.6666666666666666
105560,2017-06-13,2,1,2.0,0.5
105560,2017-06-14,1,1,3.0,1.0
105560,2017-06-15,9,4,2.3333333333333335,0.4444444444444444
105560,2017-06-17,3,2,3.0,0.6666666666666666
190510,2017-06-14,1,0,1.0,0.0
190510,2017-06-15,1,0,1.0,0.0
190510,2017-06-16,1,0,2.0,0.0
000660,2017-06-18,24,4,1.9583333333333333,0.16666666666666666
000660,2017-06-19,168,55,2.017857142857143,0.3273809523809524
000660,2017-06-20,301,81,1.9800664451827243,0.2691029900332226
000660,2017-06-21,407,127,2.0565110565110567,0.31203931203931207
000660,2017-06-22,322,95,2.012422360248447,0.2950310559006211
000660,2017-06-23,247,57,1.854251012145749,0.23076923076923078
000660,2017-06-24,231,49,1.9523809523809523,0.21212121212121213
005380,2017-06-18,7,1,1.8571428571428572,0.14285714285714285
005380,2017-06-19,27,5,1.1481481481481481,0.18518518518518517
005380,2017-06-20,15,1,1.5333333333333334,0.06666666666666667
005380,2017-06-21,42,6,1.5238095238095237,0.14285714285714285
005380,2017-06-22,13,4,1.6923076923076923,0.3076923076923077
005380,2017-06-23,11,3,1.7272727272727273,0.2727272727272727
005380,2017-06-24,8,0,1.5,0.0
005930,2017-06-18,31,5,1.6774193548387097,0.16129032258064516
005930,2017-06-19,147,27,1.8775510204081634,0.1836734693877551
005930,2017-06-20,277,74,2.032490974729242,0.26714801444043323
005930,2017-06-21,156,18,1.7243589743589745,0.11538461538461539
005930,2017-06-22,116,17,1.7672413793103448,0.14655172413793102
005930,2017-06-23,100,15,1.81,0.15
005930,2017-06-24,65,10,1.9384615384615385,0.15384615384615385
033100,2017-06-18,4,0,2.0,0.0
033100,2017-06-19,8,3,2.25,0.375
033100,2017-06-20,20,3,1.65,0.15
033100,2017-06-21,11,3,2.272727272727273,0.2727272727272727
033100,2017-06-22,17,5,2.0588235294117645,0.29411764705882354
033100,2017-06-23,12,4,2.25,0.3333333333333333
033100,2017-06-24,13,1,1.7692307692307692,0.07692307692307693
080220,2017-06-19,1,0,2.0,0.0
080220,2017-06-20,4,1,2.0,0.25
080220,2017-06-21,1,0,2.0,0.0
080220,2017-06-23,3,1,2.3333333333333335,0.3333333333333333
105560,2017-06-19,2,1,2.5,0.5
105560,2017-06-20,2,1,1.5,0.5
105560,2017-06-21,1,0,2.0,0.0
105560,2017-06-22,3,1,1.0,0.3333333333333333
105560,2017-06-23,2,1,2.5,0.5
105560,2017-06-24,1,0,2.0,0.0
190510,2017-06-19,3,1,2.3333333333333335,0.3333333333333333
190510,2017-06-20,1,0,2.0,0.0
