date,close
25/10/2019,14900
28/10/2019,14300
29/10/2019,13400
30/10/2019,12900
31/10/2019,13350
01/11/2019,12300
04/11/2019,12350
05/11/2019,11650
06/11/2019,12000
07/11/2019,11700
08/11/2019,12000
11/11/2019,12450
12/11/2019,12100
13/11/2019,11850
14/11/2019,11750
15/11/2019,11900
18/11/2019,11200
19/11/2019,10900
20/11/2019,9980
21/11/2019,9280
22/11/2019,9200
25/11/2019,9470
26/11/2019,9780
27/11/2019,9460
28/11/2019,9270
29/11/2019,9130
02/12/2019,9150
03/12/2019,8960
04/12/2019,8840
05/12/2019,8120
06/12/2019,8450
09/12/2019,8690
10/12/2019,8560
11/12/2019,8510
12/12/2019,8820
13/12/2019,9430
16/12/2019,10200
17/12/2019,11550
18/12/2019,10800
19/12/2019,11200
20/12/2019,11550
23/12/2019,11450
24/12/2019,11800
26/12/2019,11800
27/12/2019,11550
30/12/2019,11800
02/01/2020,11600
03/01/2020,11450
06/01/2020,11300
07/01/2020,11150
08/01/2020,10400
09/01/2020,10800
10/01/2020,10800
13/01/2020,10450
14/01/2020,10450
15/01/2020,10550
16/01/2020,10450
17/01/2020,10550
20/01/2020,11350
21/01/2020,11200
22/01/2020,11050
23/01/2020,10900
28/01/2020,9970
29/01/2020,9720
30/01/2020,9200
31/01/2020,8730
03/02/2020,8460
04/02/2020,8600
05/02/2020,8490
06/02/2020,8900
07/02/2020,9180
10/02/2020,9180
11/02/2020,9300
12/02/2020,9310
13/02/2020,9900
14/02/2020,9690
17/02/2020,9670
18/02/2020,9250
19/02/2020,9430
20/02/2020,9260
21/02/2020,8880
24/02/2020,8010
25/02/2020,8360
26/02/2020,8280
27/02/2020,7980
28/02/2020,7550
02/03/2020,7590
03/03/2020,7870
04/03/2020,8060
05/03/2020,8670
06/03/2020,8530
09/03/2020,7850
10/03/2020,7620
11/03/2020,6700
12/03/2020,5950
13/03/2020,4990
16/03/2020,4580
17/03/2020,4715
18/03/2020,4700
19/03/2020,4000
20/03/2020,4200
23/03/2020,3670
24/03/2020,3985
25/03/2020,4540
26/03/2020,4700
27/03/2020,4900
30/03/2020,4975
31/03/2020,5080
01/04/2020,5570
02/04/2020,5620
03/04/2020,5880
06/04/2020,5950
07/04/2020,5900
08/04/2020,6070
09/04/2020,6230
10/04/2020,6180
13/04/2020,5600
14/04/2020,5740
16/04/2020,5680
17/04/2020,5900
20/04/2020,6520
21/04/2020,6430
22/04/2020,6570
23/04/2020,6750
24/04/2020,6500
27/04/2020,6430
28/04/2020,6480
29/04/2020,6570
04/05/2020,6760
06/05/2020,7370
07/05/2020,7900
08/05/2020,9050
11/05/2020,9350
12/05/2020,9740
13/05/2020,10150
14/05/2020,9750
15/05/2020,9280
18/05/2020,8780
19/05/2020,9150
20/05/2020,9300
21/05/2020,9120
22/05/2020,8920
25/05/2020,9100
26/05/2020,9140
27/05/2020,8920
28/05/2020,8300
29/05/2020,8050
01/06/2020,8340
02/06/2020,8730
03/06/2020,8820
04/06/2020,8840
05/06/2020,9000
08/06/2020,8850
09/06/2020,8400
10/06/2020,8280
11/06/2020,8340
12/06/2020,7850
15/06/2020,6840
16/06/2020,7200
17/06/2020,7350
18/06/2020,7290
19/06/2020,7200
22/06/2020,7310
23/06/2020,7380
24/06/2020,7840
25/06/2020,8280
26/06/2020,9060
29/06/2020,9180
30/06/2020,9380
01/07/2020,9250
02/07/2020,9560
03/07/2020,9620
06/07/2020,10200
07/07/2020,9970
08/07/2020,10500
09/07/2020,10500
10/07/2020,11300
13/07/2020,12300
14/07/2020,12500
15/07/2020,13050
16/07/2020,12750
17/07/2020,12400
20/07/2020,12050
21/07/2020,12050
22/07/2020,11850
23/07/2020,11900
24/07/2020,12350
27/07/2020,12650
28/07/2020,13400
29/07/2020,14200
30/07/2020,14700
31/07/2020,14550
03/08/2020,15200
04/08/2020,16200
05/08/2020,16100
06/08/2020,15300
07/08/2020,14200
10/08/2020,13900
11/08/2020,12300
12/08/2020,12250
13/08/2020,12350
14/08/2020,11050
